80, 'Žemynos g. 14, Vilnius', '7', null, '4320', 'Žemynos'
81, 'Gabijos g. 8, Vilnius', '7', null, '4527', 'Medeinos'
82, 'Įsrūties g. 3, Vilnius', '8', null, '3159', 'Papilėnų'
83, 'Vydūno g. 17 A, Vilnius', '8', null, '3723', 'Įsruties'
84, 'Vydūno g. 17 A, Vilnius', '8', null, '3021', 'Vydūno'
85, 'I. Kanto al. 7A, Vilnius', '8', null, '2973', ' I. Kanto'
86, 'V. Druskio g. 11, Vilnius', '8', null, '3488', 'L. Asanavičiūtės'
87, 'V. Druskio g. 11, Vilnius', '8', null, '2509', 'V. Druskio'
88, 'R. Jankausko g. 17, Vilnius', '8', null, '1869', 'R. Jankausko'
89, 'R. Jankausko g. 17, Vilnius', '8', null, '1615', 'D. Gerbutavičiaus'
90, 'D. Gerbutavičiaus g. 9, Vilnius', '8', null, '2444', 'Sietyno'
91, 'D. Gerbutavičiaus g. 9, Vilnius', '8', null, '2890', 'A. P. Kavoliuko'
92, 'A. J. Povilaičio g. 1, Vilnius', '8', null, '1988', 'V. Vaitkaus'
93, 'A. J. Povilaičio g. 1, Vilnius', '8', null, '2294', 'A. J. Povilaičio'
94, 'Sausio 13-osios g. 17, Vilnius', '8', null, '2723', 'Laisvės'
95, 'Įsruties g. 3, Vilnius', '8', null, '3251', 'Pilaitės'
96, 'Kriaučiūnų g. 61, Vilnius', '8', null, '572', 'Kriaučiūnų'
97, 'Architektų g. 166, Vilnius', '9', null, '2948', 'Sausio 13-osios'
98, 'Architektų g. 166, Vilnius', '9', null, '3161', 'Bokšto'
99, 'S. Konarskio g. 34, Vilnius', '9', null, '2534', 'Vingio'
100, 'S. Konarskio g. 34, Vilnius', '9', null, '2686', 'Geležinio Vilko'
101, 'Skroblų g. 3A, Vilnius', '9', null, '2684', 'Gluosnių'
102, 'Skroblų g. 3A, Vilnius', '9', null, '3471', 'Skroblų'
103, 'Žėručio g. 4, Vilnius', '9', null, '1930', 'Riešuto'
104, 'Architektų g. 68, Vilnius', '9', null, '4554', 'Bukčių'
105, 'Žėručio g. 4, Vilnius', '9', null, '2574', 'Akacijų'
106, 'Architektų g. 68, Vilnius', '9', null, '4040', 'Oslo'
107, 'Erfurto g. 23, Vilnius', '9', null, '3063', 'Žėručio'
108, 'Erfurto g. 23, Vilnius', '9', null, '2845', 'Paparčio'
109, 'Filaretų g. 43A, Vilnius', '10', null, '2626', 'Filaretų'
110, 'Pakraščio g. 15, Vilnius', '10', null, '2842', 'Markučių'
111, 'Liepkalnio g. 18, Vilnius', '10', null, '4114', 'Liepkalnio'
112, 'Palydovo g. 29, Vilnius', '10', null, '2413', 'Palydovo'
113, 'Rugiagėlių g. 15, Vilnius', '10', null, '2279', 'Rugiagėlių'
114, 'J. Kupalos g. 8, Vilnius', '10', null, '1523', 'A. Kojelavičiaus'
115, 'Genių g. 8, Vilnius', '10', null, '2190', 'Genių'
116, 'Gerovės g. 1, Vilnius', '10', null, '2903', 'Pergalės'
117, 'Darželio g. 2, Vilnius', '10', null, '1939', 'Darželio'
118, 'Karklėnų g. 13, Vilnius', '10', null, '2825', 'Karklėnų'
119, 'Švarioji g. 33, Vilnius', '10', null, '5031', 'J. Kolaso'
120, 'Parko g. 67, Vilnius', '10', null, '3797', 'Parko'
121, 'Pramonės g. 141, Vilnius', '10', null, '1350', 'Pramonės'
122, 'Mokslininkų g. 2A, Vilnius', '11', null, '3344', 'Visorių'
123, 'Jeruzalės g. 25, Vilnius', '11', null, '2921', 'Muitininkų'
124, 'Kalvarijų g. 159, Vilnius', '11', null, '3456', 'A. Krutulio'
125, 'Didlaukio g. 23, Vilnius', '11', null, '4282', 'Didlaukio'
126, 'Mokyklos g. 9, Vilnius', '11', null, '4332', 'Mokyklos'
127, 'Didlaukio g. 23, Vilnius', '11', null, '3215', 'Baltupių'
128, 'S. Stanevičiaus g. 25, Vilnius', '11', null, '3792', 'Jovaro'
129, 'Ateities g. 28, Vilnius', '11', null, '3253', 'L. Giros'
130, 'Mokyklos g. 9, Vilnius', '11', null, '4484', 'Rugių'
131, 'Gedvydžių g. 8, Vilnius', '11', null, '3171', 'Bajorų'
132, 'Žalioji a. 3, Vilnius', '12', null, '2853', 'Trakų Vokės'
133, 'Vaikų g. 16,  Salininkai, Vilnius', '12', null, '3425', 'Melioratorių'
134, 'Liudvinavo g. 128, Vilnius', '12', null, '1949', 'Liudvinavo'
135, 'Gerosios Vilties g. 15, Vilnius', '12', null, '1722', 'Vilkpėdės'
136, 'Vaduvos g. 14A, Vilnius', '12', null, '3920', 'Titnago'
137, 'Moksleivių g. 4, Vilnius', '12', null, '1422', 'Aukštųjų Panerių'
138, 'Pupinės g. 11, Vilnius', '12', null, '2619', 'Salininkų'
139, 'Dzūkų g. 43, Vilnius', '12', null, '2567', 'Lietuvių namų'
140, 'Dzūkų g. 43, Vilnius', '12', null, '2722', 'Dzūkų'
141, 'Telšių g. 2, Vilnius', '12', null, '1365', 'Kapsų'
142, 'Dariaus ir Girėno g. 16, Vilnius', '12', null, '1451', 'Dariaus ir Girėno'
143, 'Kaminkelio g. 10, Vilnius', '12', null, '2514', 'Kaminkelio'
144, 'Šaltkalvių g. 32, Vilnius', '12', null, '1667', 'Naujininkų'
145, 'Brolių g. 19, Vilnius', '12', null, '2089', 'Brolių'
146, 'Dariaus ir Girėno g. 16, Vilnius', '12', null, '1838', 'Gimnazijos'
147, 'Dariaus ir Girėno g. 69, Vilnius', '12', null, '1436', 'Kirtimų'
148, 'Užusienio g. 91, Vilnius', '12', null, '1013', 'Užusienio'
149, 'Vandžiogalos g. 51, Kaunas', '13', null, '4236', 'Sargėnų'
150, 'Vėtrungės g. 1, Kaunas', '13', null, '3359', 'Vėtrungės'
151, 'Vėtrungės g. 1, Kaunas', '13', null, '3186', 'Rasytės'
152, 'Šarkuvos g. 28, Kaunas', '13', null, '4485', 'Šarkuvos'
153, 'Šarkuvos g. 30, Kaunas', '13', null, '4089', 'Žemaičių'
154, 'Baltų pr. 51, Kaunas', '13', null, '3994', 'Baltų'
155, 'Baltijos g. 30, Kaunas', '13', null, '3816', 'Baltijos'
156, 'Baltų pr. 103, Kaunas', '13', null, '4697', 'Žiemgalių'
157, 'Pikulo g. 31, Kaunas', '13', null, '2364', 'Milikonių'
158, 'Demokratų g. 36, Kaunas', '13', null, '2119', 'Demokratų'
159, 'Demokratų g. 36, Kaunas', '14', null, '2821', 'Linkuvos'
160, 'A. Stulginskio g. 61, Kaunas', '14', null, '3215', 'Sąjungos'
161, 'Lampėdžių g. 10, Kaunas', '14', null, '3171', 'Dobilo'
162, 'Apuolės g. 11, Kaunas', '14', null, '1149', 'Apuolės'
163, 'Seredžiaus g. 4, Kaunas', '14', null, '1382', 'Seredžiaus'
164, 'Mūšos g. 6, Kaunas', '14', null, '4485', 'Veršvų'
165, 'Mūšos g. 6, Kaunas', '14', null, '1640', 'Žagarės'
166, 'Vytauto g. 10, Kaunas', '14', null, '550', 'Lampėdžių'
167, 'Baltų pr. 123, Kaunas', '14', null, '2941', 'Kaniūkų'
168, 'V. Čepinskio g. 7, Kaunas', '14', null, '4645', 'J. Dobkevičiaus'
169, 'Veiverių g. 132, Kaunas', '14', null, '1774', 'Veiverių'
170, 'Baltų pr. 103, Kaunas', '14', null, '3519', 'Ąžuolo'
171, 'Dvarų g. 49, Kaunas', '14', null, '1117', 'Kazliškių'
172, 'M. Yčo g. 2, Kaunas', '14', null, '2364', 'Tirkiliškių'
173, 'Romainių g. 28, Kaunas', '14', null, '3232', 'Romainių'
174, 'Karaliaus Mindaugo pr. 11, Kaunas', '15', null, '1769', 'Tekstilininkų'
175, 'Gimnazijos g. 3, Kaunas', '15', null, '1749', 'Maironio'
176, 'A. Mackevičiaus g. 27, Kaunas', '15', null, '1146', 'A. Mackevičiaus'
177, 'Rytų g. 19, Kaunas', '15', null, '1236', 'Varpo'
178, 'Rimvydo g. 20, Kaunas', '15', null, '2390', 'Ryšių'
179, 'Radvilėnų pl. 7, Kaunas', '15', null, '2271', 'Radvilėnų'
180, 'Aušros g. 3, Kaunas', '15', null, '1732', 'J. Jablonskio'
181, 'Laisvės al. 95, Kaunas', '15', null, '2224', 'Aušros'
182, 'Vytauto pr. 79, Kaunas', '15', null, '2748', 'Senojo tresto'
183, 'Sporto g. 6, Kaunas', '15', null, '798', 'Sporto'
184, 'Miško g. 1, Kaunas', '15', null, '3047', 'Miško'
185, 'Jonavos g. 40, Kaunas', '15', null, '869', 'Jonavos'
186, 'Širvintų g. 15, Kaunas', '15', null, '3586', 'L. Karsavino'
187, 'Sukilėlių pr. 17, Kaunas', '15', null, '2815', 'Algirdo'
188, 'Aukštaičių g. 78, Kaunas', '15', null, '3921', 'S. Neries'
189, 'Gričiupio g. 11, Kaunas', '15', null, '2848', 'Studentų'
190, 'S. Lozoraičio g. 13, Kaunas', '16', null, '3661', 'Purienų'
191, 'Žeimenos g. 66, Kaunas', '16', null, '4420', 'Žeimenos'
192, 'Partizanų g. 22, Kaunas', '16', null, '3023', 'Versmės'
193, 'Savanorių pr. 206, Kaunas', '16', null, '4430', 'Gerovės'
